"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "comment", "blank", "total"
"c:\Users\lstop\OneDrive\Documents\JavaScriptHtmlandCss\JavaScript\Website\weather-app\src\App.tsx", "TypeScript JSX", 9, 0, 0, 0, 3, 12
"c:\Users\lstop\OneDrive\Documents\JavaScriptHtmlandCss\JavaScript\Website\weather-app\src\Components\GetTemperature\GetTemperature.module.css", "CSS", 0, 33, 0, 0, 4, 37
"c:\Users\lstop\OneDrive\Documents\JavaScriptHtmlandCss\JavaScript\Website\weather-app\src\Components\GetTemperature\GetTemperature.tsx", "TypeScript JSX", 123, 0, 0, 5, 11, 139
"c:\Users\lstop\OneDrive\Documents\JavaScriptHtmlandCss\JavaScript\Website\weather-app\src\Components\Loading.tsx", "TypeScript JSX", 9, 0, 0, 0, 1, 10
"c:\Users\lstop\OneDrive\Documents\JavaScriptHtmlandCss\JavaScript\Website\weather-app\src\Components\WeatherApp\WeatherApp.module.css", "CSS", 0, 55, 0, 0, 4, 59
"c:\Users\lstop\OneDrive\Documents\JavaScriptHtmlandCss\JavaScript\Website\weather-app\src\Components\WeatherApp\WeatherApp.tsx", "TypeScript JSX", 36, 0, 0, 0, 3, 39
"c:\Users\lstop\OneDrive\Documents\JavaScriptHtmlandCss\JavaScript\Website\weather-app\src\index.css", "CSS", 0, 30, 0, 0, 1, 31
"c:\Users\lstop\OneDrive\Documents\JavaScriptHtmlandCss\JavaScript\Website\weather-app\src\main.tsx", "TypeScript JSX", 9, 0, 0, 0, 2, 11
"c:\Users\lstop\OneDrive\Documents\JavaScriptHtmlandCss\JavaScript\Website\weather-app\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"Total", "-", 186, 118, 0, 6, 30, 340